Q9,"Q9_othea,b,a_and_b_option",Q11,"Q11_othec,d,c_and_d_option",Q14,"Q14_otheb_or_d,b,d_option",Q16,"Q16_othec,a,c_and_a_option",Q18,"Q18_othec_or_b,c,b_option",Q20,"Q20_othea_or_b,a,b_option",Q22,"Q22_othea_or_d,d,a_option"
"a_and_b,a,b","a,b,a_and_b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a_and_b,a,b","a,b,a_and_b","c,d,c_and_d","c_and_d,c,d","b,d,b_or_d","b_or_d,b,d","c,a,c_and_a","c_and_a,c,a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a_and_b,a,b","a,b,a_and_b","c_and_d,c,d","c,d,c_and_d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b,d,b_or_d","b_or_d,b,d","c_and_a,c,a","c,a,c_and_a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a_and_b,a,b","a,b,a_and_b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a_and_b,a,b","a,b,a_and_b","c_and_d,c,d","c,d,c_and_d","b_or_d,b,d","b,d,b_or_d","c_and_a,c,a","c,a,c_and_a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","d,a,a_or_d","a_or_d,d,a"
"a_and_b,a,b","a,b,a_and_b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c_and_a,c,a","c,a,c_and_a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a_and_b,a,b","a,b,a_and_b","c,d,c_and_d","c_and_d,c,d","b,d,b_or_d","b_or_d,b,d","c_and_a,c,a","c,a,c_and_a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b,d,b_or_d","b_or_d,b,d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a_and_b,a,b","a,b,a_and_b","c_and_d,c,d","c,d,c_and_d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","d,a,a_or_d","a_or_d,d,a"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b,d,b_or_d","b_or_d,b,d","c,a,c_and_a","c_and_a,c,a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a,b,a_or_b","a_or_b,a,b","d,a,a_or_d","a_or_d,d,a"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b,d,b_or_d","b_or_d,b,d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a_or_b,a,b","a,b,a_or_b","d,a,a_or_d","a_or_d,d,a"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a_and_b,a,b","a,b,a_and_b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a,b,a_or_b","a_or_b,a,b","d,a,a_or_d","a_or_d,d,a"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c_and_a,c,a","c,a,c_and_a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b,d,b_or_d","b_or_d,b,d","c_and_a,c,a","c,a,c_and_a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","d,a,a_or_d","a_or_d,d,a"
"a_and_b,a,b","a,b,a_and_b","c,d,c_and_d","c_and_d,c,d","b,d,b_or_d","b_or_d,b,d","c_and_a,c,a","c,a,c_and_a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a,b,a_or_b","a_or_b,a,b","d,a,a_or_d","a_or_d,d,a"
"a_and_b,a,b","a,b,a_and_b","c_and_d,c,d","c,d,c_and_d","b,d,b_or_d","b_or_d,b,d","c_and_a,c,a","c,a,c_and_a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a_or_b,a,b","a,b,a_or_b","d,a,a_or_d","a_or_d,d,a"
"a_and_b,a,b","a,b,a_and_b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c_and_a,c,a","c,a,c_and_a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c_and_d,c,d","c,d,c_and_d","b,d,b_or_d","b_or_d,b,d","c,a,c_and_a","c_and_a,c,a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a,b,a_or_b","a_or_b,a,b","d,a,a_or_d","a_or_d,d,a"
"a_and_b,a,b","a,b,a_and_b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a,b,a_or_b","a_or_b,a,b","d,a,a_or_d","a_or_d,d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,a_and_b,b","a,b,a_and_b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,c_and_a,a","c,a,c_and_a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,a_and_b,b","a,b,a_and_b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,c_and_a,a","c,a,c_and_a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,c_and_a,a","c,a,c_and_a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,a_and_b,b","a,b,a_and_b","c,c_and_d,d","c,d,c_and_d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a_or_b,a,b","a,a_or_b,b","d,a_or_d,a","a_or_d,d,a"
"a,a_and_b,b","a,b,a_and_b","c,c_and_d,d","c,d,c_and_d","b,b_or_d,d","b_or_d,b,d","c,c_and_a,a","c,a,c_and_a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a_or_b,a,b","a,a_or_b,b","d,a_or_d,a","a_or_d,d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,a_and_b,b","a,b,a_and_b","c,c_and_d,d","c,d,c_and_d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","d,a_or_d,a","a_or_d,d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b_or_d,b,d","b,b_or_d,d","c,c_and_a,a","c,a,c_and_a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,a_and_b,b","a,b,a_and_b","c,d,c_and_d","c,c_and_d,d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a,a_or_b,b","a_or_b,a,b","d,a_or_d,a","a_or_d,d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b,b_or_d,d","b_or_d,b,d","c,c_and_a,a","c,a,c_and_a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a_or_b,a,b","a,a_or_b,b","d,a_or_d,a","a_or_d,d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,a_and_b,b","a,b,a_and_b","c,c_and_d,d","c,d,c_and_d","b,b_or_d,d","b_or_d,b,d","c,c_and_a,a","c,a,c_and_a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","d,a_or_d,a","a_or_d,d,a"
"a,a_and_b,b","a,b,a_and_b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,c_and_a,a","c,a,c_and_a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","d,a_or_d,a","a_or_d,d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,c_and_a,a","c,a,c_and_a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b,b_or_d,d","b_or_d,b,d","c,c_and_a,a","c,a,c_and_a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a,a_or_b,b","a_or_b,a,b","d,a_or_d,a","a_or_d,d,a"
"a,b,a_and_b","a,a_and_b,b","c,c_and_d,d","c,d,c_and_d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c_or_b,c,b","c,c_oc_or_b,c,b_b,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b,b_or_d,d","b_or_d,b,d","c,a,c_and_a","c,c_and_a,a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,a,c_and_a","c,c_and_a,a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a,a_or_b,b","a_or_b,a,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,c_and_a,a","c,a,c_and_a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
"a,b,a_and_b","a,a_and_b,b","c,d,c_and_d","c,c_and_d,d","b_or_d,b,d","b,b_or_d,d","c,c_and_a,a","c,a,c_and_a","c,c_oc_or_b,c,b_b,b","c_or_b,c,b","a_or_b,a,b","a,a_or_b,b","a_or_d,d,a","d,a_or_d,a"
