9,RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",43.224502563477,39.767700195312,37.218307495117,35.58479309082,43.402893066406,,40.260498046875,47.166702270508,47.166702270508,34.054397583008,41.748901367188,40.015502929688,34.054397583008,41.881607055664,34.054397583008,33.6748046875,31.192993164062,35.546997070312,13.083297729492,32.960296630859,34.054397583008,32.658493041992,39.012496948242,,,,17.375305175781,37.751007080078,32.291198730469,33.6748046875,42.88639831543,45.010101318359,,42.88639831543,37.751007080078,31.997100830078,1.2931060791016,45.411407470703,,,,42.219604492188,43.153198242188,34.054397583008,41.342407226562,42.854095458984,,34.058395385742,42.428100585938,35.423904418945,32.754592895508,34.987396240234,,42.917297363281,34.054397583008,33.020004272461,26.272003173828,42.119293212891,,55.73860168457,41.05859375,34.148406982422,35.135894775391,45.16520690918,37.751007080078,29.739700317383,16.024703979492,34.049392700195,30.471893310547,,47.248992919922,40.721405029297,36.741104125977,34.055999755859,33.351593017578
14,LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-79.698799133301,-76.326103210449,-121.75389862061,-77.709503173828,-85.502601623535,,-75.615501403809,27.600006103516,27.600006103516,-118.2440032959,-74.446701049805,-82.917701721191,-118.2440032959,-87.976097106934,-118.2440032959,-111.95189666748,-83.843399047852,-90.445098876953,80.283294677734,-96.830001831055,-118.2440032959,-97.089797973633,-75.605102539062,,,,78.474395751953,-97.821998596191,-90.18440246582,-111.95189666748,-78.87809753418,-93.151901245117,,-78.87809753418,-97.821998596191,-80.964500427246,103.85580444336,-122.72399902344,,,,-83.604598999023,-76.211601257324,-118.2440032959,-75.99040222168,-70.952102661133,,-118.27799987793,-71.05460357666,-84.668098449707,-97.78759765625,-79.232002258301,,-73.734901428223,-118.2440032959,-96.741897583008,-80.258003234863,-71.854400634766,,37.606796264648,-80.334800720215,-77.861999511719,-90.002700805664,-93.188903808594,-97.821998596191,-95.830200195312,120.45388793945,-118.26409912109,-90.481796264648,,-122.53160095215,-74.00520324707,-119.74990081787,-84.379501342773,-86.821098327637
15,DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
16,UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
17,Q1.2,QID83,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID83""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,Q1.3,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID84""}",2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2
19,Q1.4,age,"TEXT""}",What is your age?,"{""ImportId"":""QID85_TEXT""}",32,22,36,32,30,36,24,32,32,28,41,32,27,36,27,31,26,33,26,44,28,26,37,23,60,39,29,29,30,33,28,32,30,26,30,41,33,26,34,47,45,31,34,28,36,65,23,84,52,27,25,29,27,33,28,50,24,28,46,29,59,35,34,35,27,30,48,32,19,26,34,31,30,51,49
20,Q1.5,education,,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)","{""ImportId"":""QID86""}",6,5,5,4,4,5,3,5,5,5,2,5,6,5,6,5,4,3,7,6,3,5,4,5,2,3,6,5,5,5,7,5,5,5,5,5,5,4,3,2,4,5,5,5,2,6,5,6,6,2,3,2,2,4,5,5,5,5,5,6,3,5,5,6,5,3,5,6,3,4,3,6,2,4,2
21,Q2.1_1,BFI,1,I see myself as someone who is: - Is talkative,"{""ImportId"":""QID77_1""}",3,2,5,4,2,5,1,4,2,4,4,3,4,4,4,4,4,1,3,4,1,2,2,2,2,4,4,1,4,3,4,3,4,4,3,1,2,4,3,4,2,4,2,3,2,3,1,4,2,2,2,3,3,2,5,4,2,2,1,4,4,4,5,5,3,3,4,4,2,4,1,2,2,1,5
22,Q2.1_2,BFI,2,I see myself as someone who is: - Tends to find fault with others,"{""ImportId"":""QID77_2""}",4,5,1,2,2,1,4,2,3,1,1,2,5,3,5,1,4,5,4,3,2,2,5,1,2,4,3,2,2,2,1,4,2,3,3,2,3,4,3,2,2,2,4,1,2,2,5,4,1,3,1,1,3,2,3,3,2,3,1,5,1,2,3,1,4,4,1,1,4,4,5,1,3,1,1
23,Q2.1_3,BFI,3,I see myself as someone who is: - Does a thorough job,"{""ImportId"":""QID77_3""}",3,4,5,4,4,5,4,2,4,5,4,4,4,4,4,5,2,5,4,4,5,4,5,4,2,5,4,5,4,4,5,5,4,4,3,4,5,4,5,4,5,4,4,4,5,4,5,4,5,4,4,5,3,5,2,4,4,3,5,4,5,5,4,5,3,5,5,4,4,4,5,4,3,5,5
24,Q2.1_4,BFI,4,"I see myself as someone who is: - Is depressed, blue","{""ImportId"":""QID77_4""}",4,4,1,1,1,1,2,3,3,5,2,2,5,4,5,4,4,4,3,4,4,2,3,1,2,1,4,1,2,1,1,5,2,3,2,1,5,3,2,1,1,1,1,1,1,2,1,3,4,5,1,5,3,1,4,4,4,4,2,5,1,1,3,5,3,5,1,1,1,3,5,1,2,2,2
25,Q2.1_5,BFI,5,"I see myself as someone who is: - Is original, comes up with new ideas","{""ImportId"":""QID77_5""}",3,4,5,3,4,5,4,4,3,5,4,4,4,4,4,4,3,5,4,3,3,4,4,5,2,5,5,4,4,3,5,2,4,3,4,4,2,3,5,4,5,2,3,5,4,3,5,4,3,4,3,5,3,3,3,5,3,4,4,4,3,4,5,3,4,5,5,5,4,3,3,3,3,4,4
26,Q2.1_6,BFI,6,I see myself as someone who is: - Is reserved,"{""ImportId"":""QID77_6""}",4,5,5,2,5,1,5,4,4,3,3,4,5,2,5,4,4,5,3,4,2,4,4,3,2,2,4,4,2,4,3,4,2,4,4,5,2,2,3,3,4,2,4,1,3,4,5,3,5,5,4,3,3,4,5,4,4,4,5,5,2,2,3,5,4,4,3,4,5,2,5,4,4,5,1
27,Q2.1_7,BFI,7,I see myself as someone who is: - Is helpful and unselfish with others,"{""ImportId"":""QID77_7""}",4,4,5,4,5,5,4,5,2,5,5,4,4,4,4,4,3,4,4,4,1,2,4,5,2,4,3,5,4,4,5,3,4,3,3,4,4,3,5,4,4,4,4,1,5,3,5,2,4,3,4,5,3,5,1,4,3,3,5,4,4,4,4,5,3,4,4,5,4,3,2,4,3,5,3
28,Q2.1_8,BFI,8,I see myself as someone who is: - Can be somewhat careless,"{""ImportId"":""QID77_8""}",4,4,1,2,2,1,2,2,4,1,2,3,5,2,5,1,4,2,3,3,1,2,2,1,2,2,4,1,2,2,1,5,4,4,4,1,5,2,1,1,2,2,5,3,2,2,1,4,2,4,1,1,3,2,1,4,4,3,4,5,1,1,4,3,2,3,1,1,5,2,1,1,3,2,1
29,Q2.1_9,BFI,9,"I see myself as someone who is: - Is relaxed, handles stress well","{""ImportId"":""QID77_9""}",3,1,4,4,4,5,4,4,3,1,4,4,4,4,4,5,4,3,4,4,5,2,4,5,2,4,4,4,4,4,5,1,2,3,3,5,5,4,5,4,5,5,4,5,4,4,5,4,4,2,4,5,3,5,3,5,3,3,5,4,4,3,4,3,4,1,5,5,4,4,3,4,3,4,5
30,Q2.1_10,BFI,10,I see myself as someone who is: - Is curious about many different things,"{""ImportId"":""QID77_10""}",4,5,4,4,4,5,5,3,4,4,4,5,4,5,5,4,3,5,3,3,5,2,5,4,2,5,4,5,4,4,5,5,4,4,3,5,1,4,5,5,5,5,4,3,5,4,5,4,3,5,2,5,3,4,1,4,3,5,5,5,5,4,5,2,3,5,5,5,5,4,3,4,3,4,5
31,Q2.1_11,BFI,11,I see myself as someone who is: - Is full of energy,"{""ImportId"":""QID77_11""}",4,2,1,3,4,5,5,4,5,2,4,3,5,2,5,4,3,2,4,4,5,4,2,3,2,4,3,4,4,4,5,2,4,4,3,2,5,4,3,4,3,4,2,3,2,4,1,5,3,2,3,5,3,3,3,3,2,4,3,5,4,3,5,2,3,4,4,5,2,3,2,4,2,4,4
32,Q2.1_12,BFI,12,I see myself as someone who is: - Starts quarrels with others,"{""ImportId"":""QID77_12""}",3,1,1,1,1,1,2,5,5,3,1,1,5,2,4,4,4,4,3,4,3,2,1,1,2,2,4,1,2,2,1,3,2,3,3,2,5,3,1,1,2,1,4,3,1,2,1,4,1,2,1,1,3,1,1,4,1,2,1,5,1,2,2,2,4,4,1,1,2,3,1,1,2,1,1
33,Q2.1_13,BFI,13,I see myself as someone who is: - Is a reliable worker,"{""ImportId"":""QID77_13""}",4,5,5,5,5,5,5,4,4,3,4,4,4,4,5,4,5,4,4,3,1,4,5,5,2,5,5,5,4,4,5,3,4,4,3,4,2,4,5,5,5,4,4,5,5,4,5,3,5,4,5,5,3,5,2,4,3,3,5,5,5,5,4,1,3,4,5,5,4,4,5,5,3,5,5
34,Q2.1_14,BFI,14,I see myself as someone who is: - Can be tense,"{""ImportId"":""QID77_14""}",4,5,1,2,4,1,3,2,4,4,3,3,4,4,4,2,3,4,3,4,4,2,4,2,2,2,4,1,2,2,2,5,4,3,3,2,4,4,1,2,2,2,4,4,4,2,1,4,2,5,2,1,3,2,4,4,2,4,4,5,1,3,3,5,3,3,1,2,2,4,5,1,3,2,4
35,Q2.1_15,BFI,15,"I see myself as someone who is: - Is ingenious, a deep thinker","{""ImportId"":""QID77_15""}",3,4,5,3,2,5,5,2,3,3,4,3,5,4,5,4,4,5,4,4,3,4,4,3,2,5,4,5,4,3,5,3,2,4,4,4,4,4,5,4,4,2,5,1,5,3,5,4,3,3,3,5,3,4,5,5,3,3,4,,4,3,5,1,4,5,4,5,4,3,3,4,3,4,5
36,Q2.1_16,BFI,16,I see myself as someone who is: - Generates a lot of enthusiasm,"{""ImportId"":""QID77_16""}",4,4,5,4,4,5,5,3,4,3,5,4,5,2,5,4,3,2,3,4,2,2,1,3,2,4,3,4,4,4,5,2,2,5,4,1,4,3,3,4,4,4,4,1,2,3,1,3,2,3,2,5,3,2,2,4,2,3,2,4,5,3,5,2,3,4,4,5,4,2,1,3,3,4,4
37,Q2.1_17,BFI,17,I see myself as someone who is: - Has a forgiving nature,"{""ImportId"":""QID77_17""}",3,5,4,4,5,4,4,2,5,5,5,4,4,1,4,4,4,4,4,3,3,2,1,4,2,2,4,2,4,4,5,5,4,3,4,5,4,3,3,3,5,5,4,3,4,4,1,4,4,2,5,5,3,4,4,5,3,2,4,5,4,4,5,1,3,5,5,5,4,2,1,4,4,5,5
38,Q2.1_18,BFI,18,I see myself as someone who is: - Tends to be disorganized,"{""ImportId"":""QID77_18""}",4,1,1,2,1,1,1,1,2,3,2,3,4,1,5,1,5,1,3,4,3,2,2,1,2,4,5,1,2,2,1,5,2,2,4,2,5,3,1,2,2,2,2,1,1,2,1,3,1,4,1,1,3,1,4,4,3,2,4,4,1,1,3,3,4,5,1,1,5,4,1,1,4,1,1
39,Q2.1_19,BFI,19,I see myself as someone who is: - Worries a lot,"{""ImportId"":""QID77_19""}",4,5,1,2,4,1,1,2,2,5,2,2,5,2,4,4,2,1,4,4,4,2,5,1,2,2,4,1,2,2,3,5,4,3,3,1,2,3,1,3,2,4,3,3,3,2,1,4,2,5,2,1,3,1,3,4,4,4,1,5,1,2,3,4,2,5,1,3,2,3,1,2,2,4,1
40,Q2.1_20,BFI,20,I see myself as someone who is: - Has ana active imagination,"{""ImportId"":""QID77_20""}",4,5,5,3,4,5,4,4,4,2,5,4,5,4,5,4,3,5,3,4,1,4,5,5,3,5,3,5,4,3,5,2,2,4,3,4,2,4,5,4,5,5,4,5,4,3,1,4,3,5,3,5,3,4,5,5,3,5,5,5,4,3,4,5,3,5,4,4,4,3,1,2,3,4,5
41,Q2.1_21,BFI,21,I see myself as someone who is: - Tends to be quiet,"{""ImportId"":""QID77_21""}",3,5,1,2,5,1,4,3,3,2,3,4,4,1,4,3,3,5,4,4,5,2,4,4,2,2,4,4,2,4,5,4,4,3,4,5,1,4,3,2,4,2,3,1,5,4,5,4,5,5,4,3,3,4,4,4,4,5,5,5,2,2,3,4,4,4,2,5,5,3,5,4,4,5,1
42,Q2.1_22,BFI,22,I see myself as someone who is: - Is generally trusting,"{""ImportId"":""QID77_22""}",3,4,5,4,5,5,5,4,4,5,5,4,4,2,5,4,2,4,3,4,4,2,2,4,2,4,4,4,4,4,5,5,2,4,3,5,5,4,3,5,4,4,4,1,5,4,1,4,4,2,5,3,3,4,1,4,3,3,5,4,5,4,4,5,4,1,5,5,4,4,1,4,4,5,4
43,Q2.1_23,BFI,23,I see myself as someone who is: - Tends to be lazy,"{""ImportId"":""QID77_23""}",3,3,1,2,2,1,1,2,1,3,2,2,5,2,4,1,3,2,4,2,3,2,2,1,2,1,3,1,2,2,1,5,4,3,4,5,1,3,1,1,2,2,2,4,2,3,1,3,1,4,2,1,3,1,4,3,3,3,4,5,1,1,4,4,3,3,1,1,4,4,1,1,3,1,1
44,Q2.1_24,BFI,24,"I see myself as someone who is: - Is emotionally stable, not easily upset","{""ImportId"":""QID77_24""}",3,2,5,4,4,5,5,2,2,3,5,4,5,3,5,4,4,3,3,4,3,2,4,4,3,5,4,4,4,4,3,1,2,4,3,5,4,3,5,4,5,5,4,1,4,4,5,4,4,2,4,5,3,5,5,4,3,2,5,4,5,3,2,5,3,1,5,5,4,4,5,4,3,4,5
