,Q10_Page Submit,Q12_Page Submit,Q19_Page Submit,Q23_Page Submit,Q15_Page Submit,Q17_Page Submit,Q21_Page Submit
117,63.182,39.75,17.421,26.106,39.215,29.462,15.773
118,265.979,313.136,35.716,7.224,12.966,5.687,10.567
120,19.022,10.679,8.415,5.409,12.856,3.209,3.617
121,4.088,3.761,4.93,4.904,4.361,4.491,5.024
122,15.209,24.421,65.491,11.589,7.374,106.084,49.138
123,41.45,39.574,15.501,13.253,34.582,30.869,15.35
124,47.344,13.991,7.164,5.823,37.648,18.104,12.259
125,11.305,8.761,4.287,29.274,6.746,5.462,5.307
126,31.995,30.581,15.731,9.685,23.146,17.967,15.258
127,28.094,5.568,4.444,3.829,7.538,5.762,7.142
128,34.536,3.863,7.621,6.736,11.082,12.739,180.709
131,68.227,98.818,116.292,35.734,158.153,18.336,71.457
132,9.848,6.176,6.517,6.245,5.22,5.283,6.323
133,114.247,72.858,221.414,51.513,59.686,55.593,14.312
134,7.214,4.7,11.159,3.785,4.359,12.99,4.867
135,75.469,50.308,11.938,12.039,121.504,109.629,122.046
136,48.256,41.054,21.503,25.432,29.924,25.664,18.643
137,13.785,8.456,25.162,8.289,34.235,16.255,18.663
139,32.27,16.832,4.719,5.404,5.419,3.485,6.487
140,29.703,28.742,16.217,17.528,37.1,16.91,26.015
141,12.938,21.38,8.965,5.251,8.197,12.621,8.983
142,20.933,14.041,18.382,25.48,14.357,11.209,15.463
143,24.952,49.136,17.214,10.994,52.078,25.101,56.434
144,23.599,15.951,19.657,18.777,33.28,14.17,15.119
145,15.826,15.914,5.699,3.632,3.765,8.97,3.711
146,23.659,13.658,12.543,181.247,24.57,11.543,15.9
147,7.03,5.441,7.381,6.553,103.666,3.7,3.448
148,38.709,39.163,26.089,6.0,28.941,13.744,10.337
149,29.69,37.728,6.558,6.422,21.634,12.974,11.444
150,20.61,12.16,4.816,8.475,7.672,6.72,8.009
151,42.306,23.46,17.833,17.525,30.083,31.071,13.223
152,9.384,6.45,7.093,5.446,7.31,6.847,5.441
153,12.631,9.672,10.6,9.144,12.606,10.445,9.82
154,14.824,37.532,10.365,11.517,20.412,14.446,19.278
155,37.967,6.598,4.252,5.453,7.18,9.325,5.369
157,24.917,26.399,16.656,12.26,28.353,21.717,32.842
158,41.868,22.324,47.106,13.301,30.165,24.288,21.609
159,60.309,41.064,44.326,32.986,44.545,29.747,36.355
160,37.274,33.474,55.228,32.804,120.862,221.272,31.39
161,38.986,22.172,15.618,21.924,40.543,24.484,24.858
162,4.152,3.868,8.469,1.992,4.715,4.583,2.316
163,118.618,18.765,13.352,17.473,66.34,21.608,22.593
164,52.638,17.593,7.666,7.117,15.869,7.588,7.667
165,15.828,8.79,7.087,6.969,11.849,11.761,15.76
