DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
Q1.2,QID97,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID97""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q1.3,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID98""}",2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2
Q1.4,age,"TEXT""}",What is your age?,"{""ImportId"":""QID99_TEXT""}",31,56,48,64,54,33,37,21,28,29,54,43,55,42,54,51,36,55,21,28,39,34,56,26,28,29,32,61,47,35
Q1.5,education,,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)","{""ImportId"":""QID100""}",2,4,5,4,5,5,5,5,3,3,4,4,4,2,2,6,6,5,5,3,4,2,5,3,5,2,3,3,3,2
Q2.1_1,BFI,1,I see myself as someone who is: - Is talkative,"{""ImportId"":""QID91_1""}",4,2,3,2,4,4,1,4,2,2,1,4,2,4,2,4,3,1,5,2,4,4,4,1,5,5,1,2,4,2
Q2.1_2,BFI,2,I see myself as someone who is: - Tends to find fault with others,"{""ImportId"":""QID91_2""}",5,3,1,1,1,1,3,4,3,2,4,2,1,3,4,4,2,3,1,2,1,2,1,2,3,1,1,2,5,1
Q2.1_3,BFI,3,I see myself as someone who is: - Does a thorough job,"{""ImportId"":""QID91_3""}",4,4,5,5,4,4,4,3,4,5,5,5,5,4,5,5,5,2,5,4,4,5,4,5,3,5,5,5,5,4
Q2.1_4,BFI,4,"I see myself as someone who is: - Is depressed, blue","{""ImportId"":""QID91_4""}",5,3,1,1,1,1,2,3,4,5,4,3,1,1,4,1,1,4,1,4,1,5,1,4,3,1,1,4,2,2
Q2.1_5,BFI,5,"I see myself as someone who is: - Is original, comes up with new ideas","{""ImportId"":""QID91_5""}",5,4,3,4,5,4,4,3,3,3,3,5,4,4,4,4,3,4,4,3,4,4,3,4,4,5,2,5,5,4
Q2.1_6,BFI,6,I see myself as someone who is: - Is reserved,"{""ImportId"":""QID91_6""}",4,4,3,4,4,2,5,4,5,4,5,2,3,4,4,2,4,5,1,5,4,4,3,5,3,1,5,2,1,4
Q2.1_7,BFI,7,I see myself as someone who is: - Is helpful and unselfish with others,"{""ImportId"":""QID91_7""}",4,4,5,5,4,4,5,4,4,4,4,5,4,4,5,5,4,3,5,4,4,4,3,4,3,5,5,4,4,4
Q2.1_8,BFI,8,I see myself as someone who is: - Can be somewhat careless,"{""ImportId"":""QID91_8""}",3,2,1,1,2,2,3,4,5,3,1,4,2,1,1,1,2,4,1,4,4,2,3,2,4,1,1,2,1,2
Q2.1_9,BFI,9,"I see myself as someone who is: - Is relaxed, handles stress well","{""ImportId"":""QID91_9""}",2,2,4,5,5,4,4,4,1,2,1,5,5,4,2,2,5,1,4,4,4,3,3,2,2,5,5,3,5,4
Q2.1_10,BFI,10,I see myself as someone who is: - Is curious about many different things,"{""ImportId"":""QID91_10""}",5,4,3,5,5,2,5,3,5,1,2,5,5,4,4,4,5,4,4,5,4,3,3,4,5,5,2,5,5,4
Q2.1_11,BFI,11,I see myself as someone who is: - Is full of energy,"{""ImportId"":""QID91_11""}",3,4,3,2,4,4,4,3,3,2,2,3,3,3,3,3,4,3,4,2,4,4,3,2,3,5,2,2,3,4
Q2.1_12,BFI,12,I see myself as someone who is: - Starts quarrels with others,"{""ImportId"":""QID91_12""}",4,3,1,1,1,2,2,3,1,1,2,1,1,1,1,1,2,2,1,2,1,4,2,1,2,1,1,2,1,2
Q2.1_13,BFI,13,I see myself as someone who is: - Is a reliable worker,"{""ImportId"":""QID91_13""}",4,4,5,5,4,4,5,4,5,5,5,4,5,5,5,5,5,2,5,4,5,2,4,5,3,5,5,5,5,4
Q2.1_14,BFI,14,I see myself as someone who is: - Can be tense,"{""ImportId"":""QID91_14""}",4,4,2,1,1,2,4,4,5,3,5,2,2,1,4,4,1,5,1,3,1,4,3,4,1,1,1,3,5,2
Q2.1_15,BFI,15,"I see myself as someone who is: - Is ingenious, a deep thinker","{""ImportId"":""QID91_15""}",5,4,3,3,5,4,5,4,4,2,2,5,3,2,4,4,3,4,4,3,4,5,3,2,3,4,2,5,1,4
Q2.1_16,BFI,16,I see myself as someone who is: - Generates a lot of enthusiasm,"{""ImportId"":""QID91_16""}",3,3,3,2,2,4,3,3,4,2,1,4,1,4,3,3,2,2,4,2,4,5,3,2,3,5,2,1,1,4
Q2.1_17,BFI,17,I see myself as someone who is: - Has a forgiving nature,"{""ImportId"":""QID91_17""}",2,3,4,5,4,4,2,3,5,5,1,5,4,5,4,4,4,3,4,4,5,4,4,5,1,5,5,3,5,4
Q2.1_18,BFI,18,I see myself as someone who is: - Tends to be disorganized,"{""ImportId"":""QID91_18""}",2,1,1,1,2,2,3,4,5,4,1,4,1,1,2,2,4,4,1,4,1,4,3,2,3,1,1,3,1,2
Q2.1_19,BFI,19,I see myself as someone who is: - Worries a lot,"{""ImportId"":""QID91_19""}",5,4,2,1,1,2,3,4,5,5,5,3,3,1,4,4,1,5,2,4,1,4,3,5,4,1,1,5,1,2
Q2.1_20,BFI,20,I see myself as someone who is: - Has ana active imagination,"{""ImportId"":""QID91_20""}",5,4,3,5,4,4,5,3,5,2,3,5,3,4,3,5,4,4,4,3,5,5,3,5,4,5,2,5,5,4
Q2.1_21,BFI,21,I see myself as someone who is: - Tends to be quiet,"{""ImportId"":""QID91_21""}",4,5,2,4,2,2,5,3,5,4,5,1,5,4,4,2,4,5,1,5,4,4,3,5,2,1,5,3,2,4
Q2.1_22,BFI,22,I see myself as someone who is: - Is generally trusting,"{""ImportId"":""QID91_22""}",1,4,3,5,5,4,2,3,2,5,1,4,5,5,3,4,4,4,4,4,1,4,4,5,2,5,5,3,1,4
Q2.1_23,BFI,23,I see myself as someone who is: - Tends to be lazy,"{""ImportId"":""QID91_23""}",3,2,1,1,1,2,3,3,5,3,1,4,1,1,1,1,2,2,1,4,1,2,3,4,4,1,1,2,1,2
Q2.1_24,BFI,24,"I see myself as someone who is: - Is emotionally stable, not easily upset","{""ImportId"":""QID91_24""}",2,4,4,5,5,4,4,4,1,2,1,5,5,5,3,3,5,2,5,4,4,2,3,2,3,5,5,4,5,4
Q2.1_25,BFI,25,I see myself as someone who is: - Is inventive,"{""ImportId"":""QID91_25""}",5,4,3,5,5,3,4,4,3,1,4,5,3,2,3,4,3,4,4,3,5,2,3,4,3,4,2,5,5,4
Q2.1_26,BFI,26,I see myself as someone who is: - Has an assertive personality,"{""ImportId"":""QID91_26""}",5,2,2,2,4,4,2,4,1,1,1,4,3,4,2,4,3,1,4,2,4,5,3,1,4,3,1,5,4,2
Q2.1_27,BFI,27,I see myself as someone who is: - Can be cold and aloof,"{""ImportId"":""QID91_27""}",5,2,1,2,2,2,3,4,3,2,2,1,1,1,3,2,3,3,1,3,1,4,3,2,2,1,1,1,1,2
Q2.1_28,BFI,28,I see myself as someone who is: - Preseveres until the task is finished,"{""ImportId"":""QID91_28""}",5,4,5,5,4,4,3,3,2,3,5,4,5,3,5,5,5,2,5,4,4,4,3,5,3,5,5,3,5,4
Q2.1_29,BFI,29,I see myself as someone who is: - Can be moody,"{""ImportId"":""QID91_29""}",5,4,1,1,1,2,3,3,4,2,3,1,2,1,2,1,1,4,2,3,1,4,4,4,3,1,1,4,3,2
Q2.1_30,BFI,30,"I see myself as someone who is: - Values artistic, aesthetic experiences","{""ImportId"":""QID91_30""}",4,4,4,4,5,4,5,3,5,4,5,5,3,2,4,4,4,4,4,4,3,4,4,2,5,5,4,5,5,4
Q2.1_31,BFI,31,"I see myself as someone who is: - Is sometimes shy, inhibited","{""ImportId"":""QID91_31""}",4,4,1,4,4,2,5,4,5,5,5,2,2,4,4,2,4,5,1,5,1,2,4,5,2,1,5,5,1,4
Q2.1_32,BFI,32,I see myself as someone who is: - Is considerate and kind to almost everyone,"{""ImportId"":""QID91_32""}",2,3,4,5,5,4,5,4,5,5,2,5,5,4,4,4,5,4,5,4,4,4,3,5,5,5,5,5,4,4
Q2.1_33,BFI,33,I see myself as someone who is: - Does things efficiently,"{""ImportId"":""QID91_33""}",4,4,5,5,5,4,5,3,4,3,4,5,5,4,5,5,5,2,5,4,4,4,4,5,3,5,5,5,5,4
Q2.1_34,BFI,34,I see myself as someone who is: - Remains calm in tense situations,"{""ImportId"":""QID91_34""}",3,2,4,5,5,4,4,3,2,4,1,5,5,3,3,4,5,2,4,4,5,5,3,2,2,5,5,4,5,4
Q2.1_35,BFI,35,I see myself as someone who is: - Prefers work that is routine,"{""ImportId"":""QID91_35""}",2,3,3,2,3,3,3,3,2,4,5,1,5,4,4,1,2,2,3,3,3,4,3,4,3,3,5,2,1,4
Q2.1_36,BFI,36,"I see myself as someone who is: - Is outgoing, sociable","{""ImportId"":""QID91_36""}",3,4,3,2,2,4,1,3,2,2,2,4,4,4,4,4,2,1,5,2,4,3,3,2,5,5,1,3,4,2
Q2.1_37,BFI,37,I see myself as someone who is: - Is sometimes rude to others,"{""ImportId"":""QID91_37""}",4,3,1,1,1,2,3,3,2,1,4,3,1,1,1,1,2,3,1,2,1,2,3,1,1,1,1,1,4,2
Q2.1_38,BFI,38,I see myself as someone who is: - Makes plans and follows through with them,"{""ImportId"":""QID91_38""}",3,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5,4,2,5,3,4,5,4,5,3,5,5,3,4,4
Q2.1_39,BFI,39,I see myself as someone who is: - Gets nervous easily,"{""ImportId"":""QID91_39""}",5,3,1,1,1,2,3,4,5,5,5,2,2,4,4,4,1,5,2,4,1,2,3,5,4,1,1,3,1,2
Q2.1_40,BFI,40,"I see myself as someone who is: - Likes to reflect, play with ideas","{""ImportId"":""QID91_40""}",4,4,2,4,5,4,5,4,5,2,3,5,3,2,3,4,5,4,4,4,5,4,3,4,4,5,2,5,5,4
Q2.1_41,BFI,41,I see myself as someone who is: - Has few artistic interests,"{""ImportId"":""QID91_41""}",2,1,2,1,1,2,1,4,2,3,1,1,3,4,3,1,2,3,4,3,3,2,3,2,4,1,3,1,1,3
Q2.1_42,BFI,42,I see myself as someone who is: - Likes to cooperate with others,"{""ImportId"":""QID91_42""}",2,3,4,4,5,4,3,3,5,4,4,3,4,3,5,5,4,3,5,4,4,4,4,5,3,5,3,4,4,4
Q2.1_43,BFI,43,I see myself as someone who is: - Is easily disracted,"{""ImportId"":""QID91_43""}",5,2,1,1,2,2,3,3,5,3,2,2,1,4,2,1,2,4,1,4,1,4,3,4,4,1,1,2,2,2
Q2.1_44,BFI,44,"I see myself as someone who is: - Is sophisticated in art, music, or literature","{""ImportId"":""QID91_44""}",4,4,3,2,4,4,5,4,4,2,4,5,3,2,3,4,3,2,4,3,3,4,3,2,3,3,2,5,5,3
Q2.2_Page Submit,BFI,response_time,Timing - Page Submit,"{""ImportId"":""QID92_PAGE_SUBMIT""}",71.655,180.74,73.725,96.749,66.614,55.143,88.535,64.687,194.462,110.705,134.243,65.297,79.425,193.095,103.629,91.032,131.89,72.907,184.227,234.62,1451.426,38.238,59.357,145.48,304.429,61.021,95.397,219.143,205.692,58.289
Q3.1_1,NARS,1,Click to write the question text - I would feel uneasy if robots really had emotions.,"{""ImportId"":""QID102_1""}",5,4,5,2,5,2,5,4,4,4,4,1,4,2,4,3,4,3,4,3,4,4,4,2,5,1,5,2,3,2
Q3.1_2,NARS,2,Click to write the question text - Something bad might happen if robots developed into living beings.,"{""ImportId"":""QID102_2""}",5,4,5,2,5,2,5,3,5,3,3,3,3,4,5,2,3,4,4,4,5,5,4,2,4,3,5,4,4,3
Q3.1_3,NARS,3,Click to write the question text - I would feel relaxed talking with robots.,"{""ImportId"":""QID102_3""}",1,5,1,4,1,4,2,3,2,2,3,5,4,1,3,4,3,4,3,4,1,3,3,4,3,5,3,5,3,4
Q3.1_4,NARS,4,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"{""ImportId"":""QID102_4""}",5,2,5,2,5,2,3,4,3,2,1,1,2,1,3,1,2,2,2,2,3,5,3,2,3,1,4,1,3,2
Q3.1_5,NARS,5,"Click to write the question text - If robots had emotions, I would be able to make friends with them.","{""ImportId"":""QID102_5""}",1,3,1,4,1,4,2,4,2,3,3,4,5,1,4,4,1,3,3,3,4,5,3,4,3,5,1,4,3,4
Q3.1_6,NARS,6,Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"{""ImportId"":""QID102_6""}",1,2,1,4,1,4,2,4,1,2,3,4,3,1,3,3,1,2,2,3,1,3,3,4,1,5,1,3,3,4
Q3.1_7,NARS,7,"Click to write the question text - The word ""robot"" means nothing to me.","{""ImportId"":""QID102_7""}",3,1,2,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,4,3,3,3,2,5,1,1,1,2,2
Q3.1_8,NARS,8,Click to write the question text - I would feel nervous operating a robot in front of other people.,"{""ImportId"":""QID102_8""}",3,2,2,2,4,2,1,3,5,4,3,1,5,4,3,1,1,2,2,2,2,4,4,4,3,1,2,2,2,2
Q3.1_9,NARS,9,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,"{""ImportId"":""QID102_9""}",5,2,5,2,5,2,5,3,5,4,2,1,3,5,3,2,4,2,5,3,4,5,3,2,3,2,2,2,3,2
Q3.1_10,NARS,10,Click to write the question text - I would feel very nervous just standing in front of a robot.,"{""ImportId"":""QID102_10""}",5,2,2,2,4,4,3,4,5,3,1,1,2,4,2,1,1,1,2,2,2,5,3,2,1,1,1,1,2,2
Q3.1_11,NARS,11,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.","{""ImportId"":""QID102_11""}",5,2,5,2,5,4,3,4,5,4,2,3,3,1,5,1,3,3,4,2,3,3,3,2,3,1,4,4,3,2
Q3.1_12,NARS,12,Click to write the question text - I would feel paranoid talking with a robot.,"{""ImportId"":""QID102_12""}",5,2,4,2,4,2,3,3,5,3,2,1,2,5,3,1,3,1,2,2,1,3,2,2,1,1,2,1,2,2
Q3.1_13,NARS,13,Click to write the question text - I am concerned that robots would be a bad influence on children.,"{""ImportId"":""QID102_13""}",5,2,5,2,5,2,1,3,3,3,3,1,1,5,2,1,3,2,3,2,2,4,3,2,2,1,2,2,3,2
Q3.1_14,NARS,14,Click to write the question text - I feel that in the future society will be dominated by robots.,"{""ImportId"":""QID102_14""}",3,3,3,2,5,3,3,4,5,2,1,3,3,4,2,2,3,4,3,3,5,3,3,4,4,1,4,1,3,3
Q3.2_Page Submit,NARS,response_time,Timing - Page Submit,"{""ImportId"":""QID103_PAGE_SUBMIT""}",31.263,34.585,44.895,40.48,36.495,25.803,142.37,27.014,56.846,132.167,62.1,51.569,62.348,196.134,124.053,51.69,79.736,56.001,86.2,50.254,62.54,9.222,35.22,49.196,46.902,143.646,66.573,306.402,58.05,43.499
Q5.1,QID77,,Which robot do you agree with?,"{""ImportId"":""QID77""}",1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1
Q5.2_Page Submit,QID77,response_time,Timing - Page Submit,"{""ImportId"":""QID78_PAGE_SUBMIT""}",2.638,3.377,4.683,5.486,4.425,4.998,17.221,16.691,7.891,4.596,5.511,2.005,4.66,3.009,4.475,5.366,11.969,18.619,28.572,23.024,3.406,2.683,3.38,8.533,3.233,13.484,6.866,9.809,3.545,1.711
Q7.1,QID79,,Which robot do you agree with?,"{""ImportId"":""QID79""}",1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1
Q7.2_Page Submit,QID79,response_time,Timing - Page Submit,"{""ImportId"":""QID80_PAGE_SUBMIT""}",1.071,1.687,2.184,2.092,2.153,4.274,3.057,6.381,1.98,4.695,2.135,1.842,2.159,3,2.106,6.894,1.997,1.937,3.437,33.804,4.668,1.713,1.636,1.735,1.473,1.812,1.678,3.218,2.043,1.591
Q8.1,trap_question,,What does Liz enjoy doing?,"{""ImportId"":""QID106""}",4,2,1,1,4,4,4,4,4,5,4,4,1,4,4,4,4,4,4,4,1,4,4,3,2,4,4,4,4,1
Q8.2_Page Submit,QID106,response_time,Timing - Page Submit,"{""ImportId"":""QID107_PAGE_SUBMIT""}",37.889,19.511,20.056,31.569,8.987,42.784,15.473,8.898,5.993,18.701,74.177,31.195,19.59,45.888,11.716,39.728,8.77,23.548,9.546,20.905,19.032,2.127,9.675,20.079,16.723,23.322,10.116,17.633,70.937,46.921
Q10.1,QID81,,Which robot do you agree with?,"{""ImportId"":""QID81""}",2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,2,2,2,1
Q10.2_Page Submit,QID81,response_time,Timing - Page Submit,"{""ImportId"":""QID82_PAGE_SUBMIT""}",2.046,1.997,1.916,2.223,2.077,1.803,1.546,2.156,2.077,1.588,2.172,1.562,1.96,3.519,2.319,1.906,25.666,3.461,1.926,12.541,3.021,1.551,2.096,2.191,1.343,1.611,2.121,2.904,413.151,1.354
Q12.1,QID83,,Which robot do you agree with?,"{""ImportId"":""QID83""}",1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1
Q12.2_Page Submit,QID83,response_time,Timing - Page Submit,"{""ImportId"":""QID84_PAGE_SUBMIT""}",0.943,1.967,1.867,1.914,2.119,2.178,1.967,1.975,2.459,1.611,1.891,1.788,2.449,2.303,1.624,1.796,1.816,2.281,2.053,6.559,2.461,1.703,1.498,1.457,1.167,2.304,1.611,2.926,1.934,1.095
Q14.1,QID85,,Which robot do you agree with?,"{""ImportId"":""QID85""}",1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1
Q14.2_Page Submit,QID85,response_time,Timing - Page Submit,"{""ImportId"":""QID86_PAGE_SUBMIT""}",1.778,1.661,2.045,2.575,2.265,1.302,2.122,2.29,2.705,1.731,2.004,1.477,2.141,1.951,1.729,2.12,2.156,2.302,1.991,0.706,4.278,1.635,1.329,1.336,2.256,1.138,3.144,3.178,1.495,1.566
Q16.1,QID87,,Which robot DON'T you agree with?,"{""ImportId"":""QID87""}",2,2,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,2,1,2,2,1,2,1,2
Q16.2_Page Submit,QID87,response_time,Timing - Page Submit,"{""ImportId"":""QID88_PAGE_SUBMIT""}",2.391,3.578,4.804,4.67,1.906,2.748,5.43,4.446,4.355,2.486,5.593,5.568,6.664,2.215,1.713,4.358,3.02,4.006,6.568,2.155,7.634,1.77,1.069,1.631,2.154,3.698,1.711,4.668,1.576,3.157
Q18.1,QID89,,Which robot do you agree with?,"{""ImportId"":""QID89""}",1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2
Q18.2_Page Submit,QID89,response_time,Timing - Page Submit,"{""ImportId"":""QID90_PAGE_SUBMIT""}",1.513,1.88,2.565,2.809,2.451,3.967,1.649,2.676,2.505,1.651,4.86,1.79,3.051,2.951,1.721,12.687,2.277,2.816,2.48,1.258,2.86,2.418,1.772,1.99,1.84,7.581,1.886,2.851,2.164,2.03
Q19.1_6,QID104,6,For each statement choose a robot. - Which robot would you trust to manage your investments portfolio?,"{""ImportId"":""QID104_6""}",4,4,4,1,4,4,4,4,4,1,1,4,4,4,4,4,4,4,1,4,4,1,4,4,4,1,4,4,1,4
Q19.1_2,QID104,2,For each statement choose a robot. - Which robot do you think will serve as a good jury member?,"{""ImportId"":""QID104_2""}",4,4,4,1,4,4,4,1,1,4,1,4,4,4,4,4,4,4,1,4,4,1,1,4,4,1,4,4,4,4
Q19.1_7,QID104,7,For each statement choose a robot. - Which robot do you think will be a better analyst?,"{""ImportId"":""QID104_7""}",4,4,4,1,4,1,4,4,4,4,1,4,4,4,4,4,4,4,1,4,1,1,4,4,4,4,4,4,1,4
Q19.1_3,QID104,3,For each statement choose a robot. - Which robot would you like as a bartender?,"{""ImportId"":""QID104_3""}",4,4,1,1,1,4,4,1,1,1,4,4,4,4,4,1,1,4,4,1,1,1,1,4,4,1,1,1,4,4
Q19.2_Page Submit,QID104,response_time,Timing - Page Submit,"{""ImportId"":""QID105_PAGE_SUBMIT""}",6.241,9.026,9.914,20.213,14.593,14.223,30.554,21.867,23.378,27.602,35.318,83.209,19.705,27.997,9.641,48.303,26.916,24.797,55.522,11.656,13.608,8.086,13.914,9.574,16.42,24.574,18.762,88.432,20.541,12.08
Q93#1_1,QID93#1,1,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,"{""ImportId"":""QID93#1_1""}",3,3,,3,1,4,3,1,1,,5,3,5,4,2,,1,,,3,4,5,2,1,2,1,1,2,,2
