ResponseId,answer,rationality
R_3KMwnx4OgoxhNPx,Blue had more personality and seemed more human,irrational
R_2fx3WMX7DpwChbH,"I agreed with Red's choices more, as they seemed slightly more open-minded and resourceful than Blue's",rational
R_2CCzf8XgGfBiNlq,I seemed to agree with the blue robots assessments more than reds.,irrational
R_123UE2TeFwICMCc,"The red robot just seemed to agree with my personal preferences more. Also, for some reason, I kept getting a blackjack metaphor in my head when I was thinking about these answers (math, perhaps.)",rational
R_0eX2BNs7YLJBIuB,I agreed with more of its rankings than I did the red robot,irrational
R_2B2p06UyAnwmetO,is more precise ,rational
R_z2JD3mArwqTYLEB,"Hard to describe. Mostly off of just a gut feeling of how I would interact with this machine. I tried to assign human-like personalities to each robot, but found it difficult since at its core, it is just a machine. To be honest, a large portion of this decision is probably a result of my aesthetic preferences (color). I hate most shades of blue as they remind me of being drowsy.  ",rational
R_2WGbIecTLPFmxef,Blue seemed to be more lifelike and I could relate to the blue robot more.,irrational
R_1eQAXf5qA3dVSGQ,"The way it talked and responded to questions in the videos seemed slightly more natural and appropriate overall when compared to the red robot. I'm not sure exactly why, but the blue robot made me feel more comfortable in general.",irrational
R_1fZUDBPwQ7kPrla,I agreed with this robot more often and I thought it had the best thinking ability.,irrational
R_w5GxtKxp5K1rmEx,i Like Red because she is more precise and correct in the answers she gives ,rational
R_300Ek1u316Quoee,It seemed more animated and logical,irrational
R_20NAKNfFgbvDAoj,He had more human-like qualities like the way he brought his hand up to his mouth as he was thinking of his answers. ,irrational
R_1JJBkAtivJdGhQO,They are both OK. I think blue has somewhat better answers.,irrational
R_2an9nKu9r99GmC5,I thought the prioritizing of the list task was better accomplished by the red robot,rational
R_1K0Yqm9MssCn457,This robot was more accurate in the sequences of the presented situations,rational
R_2PnZxc2koik9CtD,more reasonaBLE,irrational
R_2YbVe0sP2E8YW6u,This robot seems to have more expression and seems kinder and more trustworthy,rational
R_WxEWtmq3e1wY4OR,It seemed to think of the answers faster,rational
R_26u2xJm6wXFSDpT,It seemed to move more freely and speak with a flow a tad bit better than the red one.,irrational
R_2abt5IIowYqSfE0,I just seemed to always pick its answers so I identify with it because it thinks like me.,irrational
R_2pXcwWQUYgPduqy,I'm not sure. Maybe the red one because they just seemed a little warmer than the other one. But really I think they were identical for the most part.,rational
R_a5Hnea4UrFKqhLb,I felt the robot was more calm and collected with it's responses. It was less emotional overall and it's speech was softer in comparison with the red robot. The red robot seemed a bit louder and agitated. ,irrational
R_125wO6seSa3pbes,It's movements seemed more coordinated and smooth. More natural.,rational
R_1dyRPS7I2FwaWOm,it seems to be the more competent of the 2 robots,rational
R_1n6eRgwMjjzgZXT,I liked the way it listed the options and  it seemed to narrow them down.,irrational
R_2oBt7ApLFmqFYtj,"To be honest I just love the color red and when I was looking at this robot, it made me change my mind about how I feel when it comes to artificial intelligence. I was thinking to myself, how I would like a robot just like a red one. I wish I could own one and I'd make it my friend. ",rational
R_1g6fzCA2Vol1P6o,more logical,irrational
R_2VwfxDOfva5IYFa,This robot seems to be more financially savvy. I would trust this robot more with important decisions.,irrational
R_2cdvFfi7YC0JytY,he seemed to be smarter,rational
R_vodOeU4xNpP36U1,"I just like the color more, I guess. They both sounded the same.",irrational
R_AAS7q0yOXp31llL,It seemed to be programmed better. But I did not see a big difference. ,rational
R_2BsxHo2VIwmnnDA,"I think it is mainly the color, blue is more calming.",rational
R_1iqe5wKucaHOBTP,is smarter ,irrational
R_3Pk0voLMCEtGT7g,"The logic was a little better , both were very close.",irrational
R_vBUAN4ox5lb0s4F,Seemed a little bit more friendly and with more warm human characteristic ,irrational
R_1ojUd7FJAkj7IhX,i think she is smarter ,irrational
R_2qC6c60BSzgGQSf,Blue is my favorite color. Other than color the robots appeared identical to me.,rational
R_1gNQCfVUwV1AlvW,It seems to form the order logically more often.,irrational
R_2V87wFIJDmj9UuX,I like the color red. There wasn't much difference between the robots.,irrational
R_ZI57cWJ8QY8k0oN,It more often had the order I myself would have put the statements in.,rational
R_dm4NgzVKNCxQIw1,The blue robot seemed to be more precise.,rational
R_T75BYgrTMmWEN69,It seemed the most accurate overall,rational
R_331FGbY7ZR6a82R,I feel the red robot's answers were correct most of the time. I also felt this robot was more confident.,irrational
R_tFYs60AJvQj6nCh,this robot is more nutural.,irrational
R_2R94tmxaEnqInfU,it is more authentic  ,rational
R_3nckSMIEpH7FAd9,"I like how it lists both options first, easier that way",irrational
R_3MMeCz1JfujE5sV,I think the Blue was more accurate in following directions.,rational
R_TouA7W3gcR3lNId,It seemed a bit more calm - maybe just my impression.,rational
R_2sYixMN9SVTLcA7,Seemed to give better answers. Like the blue color,rational
R_1QEBqxk5Lbn7Ql3,I felt this robot was more accurate with the answers.,rational
R_1jIIFpPYSsEQPKV,seems to think more human-like with the questions and scenarios given.,irrational
R_d9XR9XUJ15esBDX,"it was hard to decide to choose both robots to be honest i liked both,but i chose blue for his personality",rational
R_2ds8E8QE671cnsy,It seemed to be more intelligent,rational
R_pyeDS4EvE1k4qad,"Red seemed to give the more accurate answers more frequently, which demonstrates a slightly higher level of intelligence.",irrational
R_zdsOA3BsmHUdXtT,I preferred their answers and the way it moved.,rational
R_12hhbwziTC4ZkC4,It gives better answers,half
R_3MnAo5QmQVG29YL,It moved better and I liked its voice better,irrational
R_3m9s30iSY9IKK9B,"It seemed to give better answers, or at least closer answers to what I expected. ",half
R_11cF5e3BWJ8DOPL,I agreed with more of its answers.,half
R_2tfZBWrT8dfV9hi,"I found the responses for Red to be terse. The fewer words the robot uses, the less time it will waste.",irrational
R_BJSNJcWfSXQjqE1,It seemed to have the more logical responses overall. The choice just went along better with the activities or options a person would normally choose,half
R_1mlwkBoBWdMtWPu,I kinda gravitated towards blue. cause blue is my favorite color  and I just felt a better connection.,half
R_2rCkrqlunJAOgUD,Seems to get more answers right i like the color.,half
R_296LPMFfESaX47X,"The Blue robot seemed more real, natural, and pleasant.",half
R_1rHqnJ6y1Vk7JyH,"The blue robot seems more intelligent and efficient. I noticed in a few videos that the red robot had some jerky movements. As much as the thought of artificial intelligence freaks me out, I would prefer to have the robot that is efficient than the one that seems like it has a few screws loose (pun intended).",half
R_2Y64fxPqCwLMY7J,I liked his answers he gave. They were more logical than the red one.,half
R_D90vrGCo2s6YKxH,It seems like blue has a more natural speech along with a better understanding of ideas and hierarchy or order,half
R_ZCD0AB99kCTp0Nr,It ranked choices more closely to what I would have.,half
R_1mRyND0DfhUSGf9,It seemed to use the best logic and to be the most friendly.,half
R_2Sp2TRwCwFpZFOc,It's logical responses were more inline with what I would expect myself to choose.,half
R_t08JW1LDww39zqx,the ranking and seemed more natural,half
R_2Qsuy4ZBBjTVGuu,better logic,half
R_vcbrtuiUpplHZGF,I had an eye movement that made it look more natural.,half
R_1BVCrIsWyMWsM8p,I think it was better able to analyze the information and its movements were not as robotic as the red robot.,half
R_eEAhF1eenrP3XJn,"I narrowly agreed with the ordering of this robot more. However, I thought they were similarly annoying.",half
R_116ZD1ZHma6KnWH,"The general order of their suggestions made more sense to me, but not every single time.",irrational
R_1jCgskkCfGdFLrm,"I felt the red one was too analytical, and since I am the same way, it just seems that I would ""get along"" with the blue one more. It was a little more relaxed to me.",half
R_C3aKHmCWQVVVfLr,His train of thought seems to be more comprehensible than the red robot. His thought order seems to make more overall sense of categorization thus easier to follow. ,half
R_1IN0hqKWaGRLXHf,rpbot had more ease withe replies and seemed more natural.,half
R_1LTJtwHZgx8dYT5,The robot seems to listen to the statements well. He actions were not as fidgety as the red robot.,half
R_2SkoHOxNPaPZ2ir,I prefer the color blue over red.,half
R_1gkDPL5qJxExZaX,the logic is better,irrational
R_33wf27BGDzYS7Rr,it seems more logical ,half
R_21BeJ0Cop7PCf1v,I feel that the robot gave the most logical order of statements and would give more reliable results than the red robot.,half
R_AEYxN8fu62T1nup,I guess I felt like it's responses matched mine more frequently.,half
R_r3JV3fdB2Xr4KqJ,color,half
R_3FL0xU5ZEL3wtMS,It's voice was less annoying,half
R_2uqTAnr64KCbBzv,I thought it was more accurate.  it seemed a little more pleasant than the blue.,irrational
R_3KNkr7Ia0i4I27z,"Although it wasn't perfect, the Blue robot's preferences were more closely matched to mine than the red.",half
R_3ETt035pNRn71Fy,They seemed to take the facts and combine them versus going through all the steps before combining facts. I think the blue robot would be easier to communicate with. ,half
R_1QmaBELRUV8k1HG,Just liked him better-better responses,half
R_1DPi4zqCigomBO1,I thought the blue robot's responses aligned more with my thinking.,half
R_1o6EtS9icKfbwIy,"Because I was primarily in agreement with the way they structured the options they were given, since it made much more sense to me to have the options ordered the way the blue robot put them, as opposed to the way the red robot did. ",half
R_dnzdcHAt33ys78R,Seemed nicer ,half
R_3CNkjm67BwR3UKm,"Red made sensible choices. IN addition, Red seemed more human like both in speech and mechanics. At the end, I sensed Blue was a male robot and Red was a female.",irrational
R_yHNMMmIiJqHKHip,The judgements and reasoning made more sense to me. ,half
R_VPavvEwKByl7pkd,smarter,half
R_216SzkO3J7ngebC,"The blue robot seems to have inflections and behaviors that are closer to that of a human being, and also has reactions that seem more positive in their nature and less 'clunky'.",half
R_2dAPpi3oUmH3X9f,"I ranked the choices in my head the red came closer. Red didn't seem to waste time before giving its ranking. If the interaction were more human-like, I would appreciate an approach like blue used. For these mechanical helpers, I would just prefer answers instead of fake small-talk.",irrational
R_31HJoUHxsiZj2dh,She seemed to get the orders right more often. The blue did seem more human like but red got the most orders right.,irrational
R_1gRT5UhuM0bZGho,I prefer this robot because it seems to think the most similarly to me. ,half
R_2eVIRdJgrZ2bDl4,Because I felt like it's rankings made more sense,half
R_3EiiUNUX3Su7Kio,"Though the red robot seemed slightly smoother and friendlier, I prefer the blue one because of its analytical skills.  To me, that is the entire reason for having a robot.",half
R_2tGypwIsIUnkPWv,Because I like the way it gives out the separate statements first. ,half
R_3oC6VpCyWTuwsjJ,I guess just because I agreed with him on everything? He thinks more like I think. ,half
R_3KO6JJ2UthC307F,"I don't think I like robots that try to act Human, it makes me feel unsettled that's for sure. There wasn't much difference, but my instincts usually went towards the blue robot.",half
R_21B8Fhp2vX28v1o,It seemed to have a better understanding of what was going on.,half
R_2aqSmFZ9XYYW1y9,agreed with most of their responses.  Seemed 'calmer' than blue,half
R_1jAF9n0A9Im2vLb,It's answers were closer to mine although neither picked the choices in the order I would have.,irrational
R_22DoECqnN3Ij1LA,less chatty,irrational
R_2pJOSS10WzM3WWT,I tink that one was more like friends and people I have worked with. I feel more confrontable being around that one,irrational
R_1qX1ebn98pbtgwr,For some reason this robot is more memorable to me. I think this robot was correct more often. ,half
R_1rvlkbhwPHqOJrp,BECAUSE THIS ROBOT FAIR THIS TASK,half
R_SI4sQ3rPb5P1lCh,I prefer the red robot because I liked the way they ordered the lists better to a small degree. Maybe I'm biased because I like the color red more than the color blue. ,half
R_1CIQhknem8NOOi6,Blue seemed more accurate and less rigid. The blue robot answered the way I would. ,irrational
R_yyWLlXcHmu2sZsB,"To me there is very little difference between the two nor do I agree with either of their answers; however, I think the red bot had a more natural organization for the answers.",half
R_sBjkyTE0R4BCXiV,It seem like red would answer the questions more correct than the blue,half
R_2t8QVuFmfUAkRke,Sound more human-like.,half
R_2WHUiolRvIl2Bld,It seemed to have the same choices as myself,half
