,question,option,full_text,dict_text,2,3,4,5,6
Q2.1_39,BFI,39,I see myself as someone who is: - Gets nervous easily,"{""ImportId"":""QID102_39""}",1,1,3,4,1
Q2.1_40,BFI,40,"I see myself as someone who is: - Likes to reflect, play with ideas","{""ImportId"":""QID102_40""}",2,2,3,4,5
Q2.1_41,BFI,41,I see myself as someone who is: - Has few artistic interests,"{""ImportId"":""QID102_41""}",5,2,3,1,1
Q2.1_42,BFI,42,I see myself as someone who is: - Likes to cooperate with others,"{""ImportId"":""QID102_42""}",1,3,3,5,5
Q2.1_43,BFI,43,I see myself as someone who is: - Is easily disracted,"{""ImportId"":""QID102_43""}",1,2,3,2,1
Q2.1_44,BFI,44,"I see myself as someone who is: - Is sophisticated in art, music, or literature","{""ImportId"":""QID102_44""}",1,2,3,4,4
Q2.2_Page Submit,BFI,response_time,Timing - Page Submit,"{""ImportId"":""QID103_PAGE_SUBMIT""}",52.56,299.624,87.359,95.792,75.43
Q3.1_1,NARS,1,Click to write the question text - I would feel uneasy if robots really had emotions.,"{""ImportId"":""QID106_1""}",3,2,2,4,2
Q3.1_2,NARS,2,Click to write the question text - Something bad might happen if robots developed into living beings.,"{""ImportId"":""QID106_2""}",5,3,2,4,4
Q3.1_3,NARS,3,Click to write the question text - I would feel relaxed talking with robots.,"{""ImportId"":""QID106_3""}",3,4,4,2,4
Q3.1_4,NARS,4,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"{""ImportId"":""QID106_4""}",1,1,2,2,1
Q3.1_5,NARS,5,"Click to write the question text - If robots had emotions, I would be able to make friends with them.","{""ImportId"":""QID106_5""}",3,4,4,2,4
Q3.1_6,NARS,6,Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"{""ImportId"":""QID106_6""}",3,4,4,2,3
Q3.1_7,NARS,7,"Click to write the question text - The word ""robot"" means nothing to me.","{""ImportId"":""QID106_7""}",1,2,4,2,1
Q3.1_8,NARS,8,Click to write the question text - I would feel nervous operating a robot in front of other people.,"{""ImportId"":""QID106_8""}",1,2,2,4,1
Q3.1_9,NARS,9,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,"{""ImportId"":""QID106_9""}",3,2,3,4,2
Q3.1_10,NARS,10,Click to write the question text - I would feel very nervous just standing in front of a robot.,"{""ImportId"":""QID106_10""}",1,1,3,2,1
Q3.1_11,NARS,11,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.","{""ImportId"":""QID106_11""}",3,2,3,4,1
Q3.1_12,NARS,12,Click to write the question text - I would feel paranoid talking with a robot.,"{""ImportId"":""QID106_12""}",3,2,3,4,1
Q3.1_13,NARS,13,Click to write the question text - I am concerned that robots would be a bad influence on children.,"{""ImportId"":""QID106_13""}",3,2,3,2,1
Q3.1_14,NARS,14,Click to write the question text - I feel that in the future society will be dominated by robots.,"{""ImportId"":""QID106_14""}",5,3,3,2,2
Q3.2_Page Submit,NARS,response_time,Timing - Page Submit,"{""ImportId"":""QID107_PAGE_SUBMIT""}",35.585,63.245,39.524,71.154,45.974
Q5.1,QID83,,Which robot do you agree with?,"{""ImportId"":""QID83""}",1,1,2,1,1
Q5.2_Page Submit,QID83,response_time,Timing - Page Submit,"{""ImportId"":""QID84_PAGE_SUBMIT""}",2.144,12.446,2.556,5.033,2.469
Q7.1,QID85,,Which robot do you agree with?,"{""ImportId"":""QID85""}",1,1,2,1,1
Q7.2_Page Submit,QID85,response_time,Timing - Page Submit,"{""ImportId"":""QID86_PAGE_SUBMIT""}",1.6,1.933,1.312,2.666,2.056
Q8.1,trap_question,,What does Liz enjoy doing?,"{""ImportId"":""QID104""}",4,4,4,4,4
Q8.2_Page Submit,QID104,response_time,Timing - Page Submit,"{""ImportId"":""QID105_PAGE_SUBMIT""}",23.866,8.046,7.152,11.397,115.064
Q10.1,QID87,,Which robot do you agree with?,"{""ImportId"":""QID87""}",1,1,1,1,1
Q10.2_Page Submit,QID87,response_time,Timing - Page Submit,"{""ImportId"":""QID88_PAGE_SUBMIT""}",1.617,4.493,1.414,1.744,1.717
Q12.1,QID90,,Which robot do you agree with?,"{""ImportId"":""QID90""}",1,1,1,1,1
Q12.2_Page Submit,QID90,response_time,Timing - Page Submit,"{""ImportId"":""QID89_PAGE_SUBMIT""}",1.092,1.385,1.096,1.142,1.083
Q14.1,QID92,,Which robot do you agree with?,"{""ImportId"":""QID92""}",1,1,1,1,1
Q14.2_Page Submit,QID92,response_time,Timing - Page Submit,"{""ImportId"":""QID91_PAGE_SUBMIT""}",1.379,1.123,1.359,0.911,0.847
Q16.1,QID94,,Which robot do you agree with?,"{""ImportId"":""QID94""}",1,1,1,1,1
Q16.2_Page Submit,QID94,response_time,Timing - Page Submit,"{""ImportId"":""QID93_PAGE_SUBMIT""}",1.405,0.924,1.883,1.043,0.942
Q18.1,QID96,,Which robot do you agree with?,"{""ImportId"":""QID96""}",1,1,1,1,1
Q18.2_Page Submit,QID96,response_time,Timing - Page Submit,"{""ImportId"":""QID95_PAGE_SUBMIT""}",1.303,1.051,1.474,1.76,0.95
Q19.1_1,QID108,1,Click to write the question text - Which robot would you prefer?,"{""ImportId"":""QID108_1""}",4,4,4,4,4
Q19.1_6,QID108,6,Click to write the question text - Which robot would you trust to manage your investments portfolio?,"{""ImportId"":""QID108_6""}",4,4,4,4,4
Q19.1_2,QID108,2,Click to write the question text - Which robot do you think will serve as a good jury member?,"{""ImportId"":""QID108_2""}",4,4,4,4,4
Q19.1_7,QID108,7,Click to write the question text - Which robot do you think will be a better analyst?,"{""ImportId"":""QID108_7""}",4,4,4,4,4
Q19.1_3,QID108,3,Click to write the question text - Which robot would you like as a bartender?,"{""ImportId"":""QID108_3""}",4,1,4,1,4
Q19.2_Page Submit,QID108,response_time,Timing - Page Submit,"{""ImportId"":""QID109_PAGE_SUBMIT""}",7.007,22.083,5.448,13.149,11.641
Q99#1_1,QID99#1,1,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,"{""ImportId"":""QID99#1_1""}",1,1,3,1,1
Q99#2_1,QID99#2,1,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,"{""ImportId"":""QID99#2_1""}",1,5,3,5,5
Q100#1_1,GODSPEED1,1,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,"{""ImportId"":""QID100#1_1""}",1,3,3,1,2
Q100#1_2,GODSPEED1,2,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,"{""ImportId"":""QID100#1_2""}",1,2,3,1,2
Q100#1_3,GODSPEED1,3,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,"{""ImportId"":""QID100#1_3""}",1,4,3,1,1
Q100#1_4,GODSPEED1,4,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,"{""ImportId"":""QID100#1_4""}",1,3,4,1,1
Q100#1_5,GODSPEED1,5,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,"{""ImportId"":""QID100#1_5""}",2,2,3,1,2
Q100#1_6,GODSPEED1,6,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,"{""ImportId"":""QID100#1_6""}",1,3,3,3,1
Q100#1_7,GODSPEED1,7,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,"{""ImportId"":""QID100#1_7""}",1,2,3,3,3
Q100#1_8,GODSPEED1,8,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,"{""ImportId"":""QID100#1_8""}",1,2,3,1,1
Q100#1_9,GODSPEED1,9,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,"{""ImportId"":""QID100#1_9""}",1,2,3,1,1
Q100#1_10,GODSPEED1,10,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,"{""ImportId"":""QID100#1_10""}",2,4,3,4,3
Q100#1_11,GODSPEED1,11,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,"{""ImportId"":""QID100#1_11""}",1,3,3,3,4
Q100#1_12,GODSPEED1,12,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,"{""ImportId"":""QID100#1_12""}",2,4,3,3,4
Q100#1_13,GODSPEED1,13,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,"{""ImportId"":""QID100#1_13""}",3,3,3,4,3
Q100#1_14,GODSPEED1,14,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,"{""ImportId"":""QID100#1_14""}",3,2,3,4,3
Q100#1_15,GODSPEED1,15,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,"{""ImportId"":""QID100#1_15""}",1,3,3,4,4
Q100#1_16,GODSPEED1,16,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,"{""ImportId"":""QID100#1_16""}",2,3,3,5,4
Q100#1_17,GODSPEED1,17,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,"{""ImportId"":""QID100#1_17""}",2,4,4,4,3
Q100#1_18,GODSPEED1,18,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,"{""ImportId"":""QID100#1_18""}",1,3,4,4,2
Q100#1_19,GODSPEED1,19,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,"{""ImportId"":""QID100#1_19""}",3,3,4,5,1
Q100#1_20,GODSPEED1,20,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,"{""ImportId"":""QID100#1_20""}",1,4,4,4,2
Q100#1_21,GODSPEED1,21,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,"{""ImportId"":""QID100#1_21""}",2,3,4,3,3
Q100#1_22,GODSPEED1,22,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,"{""ImportId"":""QID100#1_22""}",3,4,3,2,3
Q100#1_23,GODSPEED1,23,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,"{""ImportId"":""QID100#1_23""}",3,4,3,3,5
Q100#1_24,GODSPEED1,24,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,"{""ImportId"":""QID100#1_24""}",1,2,3,3,1
Q100#2_1,GODSPEED2,1,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,"{""ImportId"":""QID100#2_1""}",1,2,4,2,2
Q100#2_2,GODSPEED2,2,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,"{""ImportId"":""QID100#2_2""}",1,2,4,2,2
Q100#2_3,GODSPEED2,3,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,"{""ImportId"":""QID100#2_3""}",1,3,4,2,1
Q100#2_4,GODSPEED2,4,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,"{""ImportId"":""QID100#2_4""}",1,3,4,2,1
Q100#2_5,GODSPEED2,5,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,"{""ImportId"":""QID100#2_5""}",1,4,4,1,2
Q100#2_6,GODSPEED2,6,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,"{""ImportId"":""QID100#2_6""}",1,3,4,3,1
Q100#2_7,GODSPEED2,7,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,"{""ImportId"":""QID100#2_7""}",1,2,4,3,3
Q100#2_8,GODSPEED2,8,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,"{""ImportId"":""QID100#2_8""}",1,2,4,1,1
Q100#2_9,GODSPEED2,9,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,"{""ImportId"":""QID100#2_9""}",1,2,4,1,1
Q100#2_10,GODSPEED2,10,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,"{""ImportId"":""QID100#2_10""}",1,4,4,4,3
Q100#2_11,GODSPEED2,11,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,"{""ImportId"":""QID100#2_11""}",1,3,4,3,4
Q100#2_12,GODSPEED2,12,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,"{""ImportId"":""QID100#2_12""}",3,4,4,3,4
Q100#2_13,GODSPEED2,13,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,"{""ImportId"":""QID100#2_13""}",3,3,4,4,3
Q100#2_14,GODSPEED2,14,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,"{""ImportId"":""QID100#2_14""}",3,2,4,4,3
Q100#2_15,GODSPEED2,15,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,"{""ImportId"":""QID100#2_15""}",1,3,4,4,4
Q100#2_16,GODSPEED2,16,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,"{""ImportId"":""QID100#2_16""}",2,3,4,5,4
Q100#2_17,GODSPEED2,17,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,"{""ImportId"":""QID100#2_17""}",3,4,4,4,4
Q100#2_18,GODSPEED2,18,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,"{""ImportId"":""QID100#2_18""}",1,3,4,4,2
Q100#2_19,GODSPEED2,19,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,"{""ImportId"":""QID100#2_19""}",3,3,4,5,1
Q100#2_20,GODSPEED2,20,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,"{""ImportId"":""QID100#2_20""}",1,4,4,4,2
Q100#2_21,GODSPEED2,21,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,"{""ImportId"":""QID100#2_21""}",3,3,4,3,3
Q100#2_22,GODSPEED2,22,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,"{""ImportId"":""QID100#2_22""}",3,4,4,2,3
Q100#2_23,GODSPEED2,23,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,"{""ImportId"":""QID100#2_23""}",3,4,4,3,5
Q100#2_24,GODSPEED2,24,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,"{""ImportId"":""QID100#2_24""}",1,2,4,3,1
Q20.3_Page Submit,GODSPEED2,response_time,Timing - Page Submit,"{""ImportId"":""QID101_PAGE_SUBMIT""}",114.27,211.924,63.565,373.352,165.977
survey_code,survey,"code""}",survey_code,"{""ImportId"":""survey_code""}",88670153,65031412,99908119,47155778,38439462
0,red_robot,deployment,side,,left,left,left,left,left
0,red_robot,deployment,rationality,,rational,rational,rational,rational,rational
0,blue_robot,deployment,side,,right,right,right,right,right
0,blue_robot,deployment,rationality,,irrational,irrational,irrational,irrational,irrational
