,question,option,full_text,dict_text,2,3,4,5,6
Q3.1_9,NARS,9,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,"{""ImportId"":""QID88_9""}",1,1,2,2,3
Q3.1_10,NARS,10,Click to write the question text - I would feel very nervous just standing in front of a robot.,"{""ImportId"":""QID88_10""}",1,2,4,1,2
Q3.1_11,NARS,11,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.","{""ImportId"":""QID88_11""}",1,2,3,1,4
Q3.1_12,NARS,12,Click to write the question text - I would feel paranoid talking with a robot.,"{""ImportId"":""QID88_12""}",1,1,4,1,2
Q3.1_13,NARS,13,Click to write the question text - I am concerned that robots would be a bad influence on children.,"{""ImportId"":""QID88_13""}",1,2,4,2,3
Q3.1_14,NARS,14,Click to write the question text - I feel that in the future society will be dominated by robots.,"{""ImportId"":""QID88_14""}",3,1,1,4,2
Q3.2_Page Submit,NARS,response_time,Timing - Page Submit,"{""ImportId"":""QID89_PAGE_SUBMIT""}",14.437,370.752,12.515,75.032,80.257
Q5.1,QID94,,Which robot do you agree with?,"{""ImportId"":""QID94""}",2,1,2,1,2
Q5.2_Page Submit,QID94,response_time,Timing - Page Submit,"{""ImportId"":""QID95_PAGE_SUBMIT""}",1.141,1.353,5.819,2.423,5.143
Q7.1,QID96,,Which robot do you agree with?,"{""ImportId"":""QID96""}",2,2,1,1,1
Q7.2_Page Submit,QID96,response_time,Timing - Page Submit,"{""ImportId"":""QID97_PAGE_SUBMIT""}",1.368,1.705,4.134,7.162,2.429
Q8.1,trap_question,,What does Liz enjoy doing?,"{""ImportId"":""QID92""}",4,4,2,4,2
Q8.2_Page Submit,QID92,response_time,Timing - Page Submit,"{""ImportId"":""QID93_PAGE_SUBMIT""}",5.411,3.181,14.284,13.166,27.457
Q10.1,QID100,,Which robot do you agree with?,"{""ImportId"":""QID100""}",1,2,2,2,2
Q10.2_Page Submit,QID100,response_time,Timing - Page Submit,"{""ImportId"":""QID101_PAGE_SUBMIT""}",1.247,1.83,2.236,1.335,2.459
Q12.1,QID102,,Which robot do you agree with?,"{""ImportId"":""QID102""}",2,2,2,1,1
Q12.2_Page Submit,QID102,response_time,Timing - Page Submit,"{""ImportId"":""QID103_PAGE_SUBMIT""}",1.283,1.436,1.892,1.785,2.1
Q14.1,QID106,,Which robot do you agree with?,"{""ImportId"":""QID106""}",2,1,2,1,2
Q14.2_Page Submit,QID106,response_time,Timing - Page Submit,"{""ImportId"":""QID107_PAGE_SUBMIT""}",1.515,1.693,1.131,1.901,2.614
Q16.1,QID108,,Which robot do you agree with?,"{""ImportId"":""QID108""}",1,1,1,1,1
Q16.2_Page Submit,QID108,response_time,Timing - Page Submit,"{""ImportId"":""QID109_PAGE_SUBMIT""}",1.32,1.194,2.253,2.079,2.155
Q18.1,QID110,,Which robot do you agree with?,"{""ImportId"":""QID110""}",1,2,1,2,1
Q18.2_Page Submit,QID110,response_time,Timing - Page Submit,"{""ImportId"":""QID111_PAGE_SUBMIT""}",1.704,1.572,1.379,1.902,2.25
Q19.1_1,QID90,1,Click to write the question text - Which robot would you prefer?,"{""ImportId"":""QID90_1""}",1,4,1,4,1
Q19.1_6,QID90,6,Click to write the question text - Which robot would you trust to manage your investments portfolio?,"{""ImportId"":""QID90_6""}",1,4,4,1,1
Q19.1_2,QID90,2,Click to write the question text - Which robot do you think will serve as a good jury member?,"{""ImportId"":""QID90_2""}",1,4,4,1,1
Q19.1_7,QID90,7,Click to write the question text - Which robot do you think will be a better analyst?,"{""ImportId"":""QID90_7""}",1,4,1,1,1
Q19.1_3,QID90,3,Click to write the question text - Which robot would you like as a bartender?,"{""ImportId"":""QID90_3""}",1,4,4,4,4
Q19.2_Page Submit,QID90,response_time,Timing - Page Submit,"{""ImportId"":""QID91_PAGE_SUBMIT""}",5.098,8.628,5.496,23.167,20.982
Q79#1_1,QID79#1,1,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,"{""ImportId"":""QID79#1_1""}",4,1,4,3,2
Q79#2_1,QID79#2,1,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,"{""ImportId"":""QID79#2_1""}",5,5,3,3,2
Q80#1_1,GODSPEED1,1,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,"{""ImportId"":""QID80#1_1""}",4,2,2,2,2
Q80#1_2,GODSPEED1,2,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,"{""ImportId"":""QID80#1_2""}",4,5,3,1,1
Q80#1_3,GODSPEED1,3,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,"{""ImportId"":""QID80#1_3""}",3,5,4,2,1
Q80#1_4,GODSPEED1,4,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,"{""ImportId"":""QID80#1_4""}",4,3,4,2,2
Q80#1_5,GODSPEED1,5,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,"{""ImportId"":""QID80#1_5""}",3,5,2,4,1
Q80#1_6,GODSPEED1,6,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,"{""ImportId"":""QID80#1_6""}",3,5,5,2,2
Q80#1_7,GODSPEED1,7,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,"{""ImportId"":""QID80#1_7""}",3,5,4,4,2
Q80#1_8,GODSPEED1,8,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,"{""ImportId"":""QID80#1_8""}",4,3,2,2,2
Q80#1_9,GODSPEED1,9,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,"{""ImportId"":""QID80#1_9""}",4,4,4,3,2
Q80#1_10,GODSPEED1,10,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,"{""ImportId"":""QID80#1_10""}",5,3,4,3,3
Q80#1_11,GODSPEED1,11,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,"{""ImportId"":""QID80#1_11""}",5,3,3,4,3
Q80#1_12,GODSPEED1,12,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,"{""ImportId"":""QID80#1_12""}",5,3,5,2,3
Q80#1_13,GODSPEED1,13,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,"{""ImportId"":""QID80#1_13""}",5,4,2,5,3
Q80#1_14,GODSPEED1,14,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,"{""ImportId"":""QID80#1_14""}",5,3,4,4,3
Q80#1_15,GODSPEED1,15,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,"{""ImportId"":""QID80#1_15""}",5,4,3,4,3
Q80#1_16,GODSPEED1,16,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,"{""ImportId"":""QID80#1_16""}",5,3,3,4,4
Q80#1_17,GODSPEED1,17,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,"{""ImportId"":""QID80#1_17""}",4,3,2,2,4
Q80#1_18,GODSPEED1,18,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,"{""ImportId"":""QID80#1_18""}",4,4,3,5,4
Q80#1_19,GODSPEED1,19,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,"{""ImportId"":""QID80#1_19""}",4,3,4,3,3
Q80#1_20,GODSPEED1,20,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,"{""ImportId"":""QID80#1_20""}",4,4,5,4,4
Q80#1_21,GODSPEED1,21,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,"{""ImportId"":""QID80#1_21""}",4,2,4,5,3
Q80#1_22,GODSPEED1,22,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,"{""ImportId"":""QID80#1_22""}",5,2,3,5,3
Q80#1_23,GODSPEED1,23,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,"{""ImportId"":""QID80#1_23""}",5,3,2,5,3
Q80#1_24,GODSPEED1,24,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,"{""ImportId"":""QID80#1_24""}",5,3,4,2,2
Q80#2_1,GODSPEED2,1,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,"{""ImportId"":""QID80#2_1""}",2,2,2,4,2
Q80#2_2,GODSPEED2,2,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,"{""ImportId"":""QID80#2_2""}",2,3,4,1,1
Q80#2_3,GODSPEED2,3,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,"{""ImportId"":""QID80#2_3""}",2,3,5,2,1
Q80#2_4,GODSPEED2,4,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,"{""ImportId"":""QID80#2_4""}",2,2,1,2,2
Q80#2_5,GODSPEED2,5,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,"{""ImportId"":""QID80#2_5""}",3,2,3,4,2
Q80#2_6,GODSPEED2,6,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,"{""ImportId"":""QID80#2_6""}",3,2,4,2,2
Q80#2_7,GODSPEED2,7,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,"{""ImportId"":""QID80#2_7""}",3,3,3,4,2
Q80#2_8,GODSPEED2,8,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,"{""ImportId"":""QID80#2_8""}",3,3,5,2,2
Q80#2_9,GODSPEED2,9,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,"{""ImportId"":""QID80#2_9""}",3,2,3,4,2
Q80#2_10,GODSPEED2,10,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,"{""ImportId"":""QID80#2_10""}",4,3,1,3,3
Q80#2_11,GODSPEED2,11,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,"{""ImportId"":""QID80#2_11""}",4,3,4,3,3
Q80#2_12,GODSPEED2,12,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,"{""ImportId"":""QID80#2_12""}",3,2,3,4,3
Q80#2_13,GODSPEED2,13,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,"{""ImportId"":""QID80#2_13""}",4,3,4,5,3
Q80#2_14,GODSPEED2,14,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,"{""ImportId"":""QID80#2_14""}",4,3,2,4,3
Q80#2_15,GODSPEED2,15,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,"{""ImportId"":""QID80#2_15""}",4,3,4,4,3
Q80#2_16,GODSPEED2,16,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,"{""ImportId"":""QID80#2_16""}",5,2,3,4,4
Q80#2_17,GODSPEED2,17,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,"{""ImportId"":""QID80#2_17""}",3,3,4,2,4
Q80#2_18,GODSPEED2,18,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,"{""ImportId"":""QID80#2_18""}",3,3,3,5,4
Q80#2_19,GODSPEED2,19,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,"{""ImportId"":""QID80#2_19""}",4,3,2,3,3
Q80#2_20,GODSPEED2,20,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,"{""ImportId"":""QID80#2_20""}",3,3,3,4,4
Q80#2_21,GODSPEED2,21,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,"{""ImportId"":""QID80#2_21""}",3,4,4,5,3
Q80#2_22,GODSPEED2,22,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,"{""ImportId"":""QID80#2_22""}",5,4,3,5,3
Q80#2_23,GODSPEED2,23,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,"{""ImportId"":""QID80#2_23""}",5,3,5,5,3
Q80#2_24,GODSPEED2,24,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,"{""ImportId"":""QID80#2_24""}",5,3,2,2,2
Q20.3_Page Submit,GODSPEED2,response_time,Timing - Page Submit,"{""ImportId"":""QID81_PAGE_SUBMIT""}",155.276,61.393,52.245,154.917,129.465
survey_code,survey,"code""}",survey_code,"{""ImportId"":""survey_code""}",48631467,34035805,88576363,26514114,79846807
0,red_robot,deployment,side,,left,left,left,left,left
0,red_robot,deployment,rationality,,irrational,irrational,irrational,irrational,irrational
0,blue_robot,deployment,side,,right,right,right,right,right
0,blue_robot,deployment,rationality,,half,half,half,half,half
