nars,color,side,Q5.1,Q7.1,Q10.1,Q12.1,Q14.1,Q16.1,Q18.1,prefer,investments,jury,analyst,bartender,gender,education,age,userID,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,GODSPEED1_S1,GODSPEED1_S2,GODSPEED1_S3,GODSPEED1_S4,GODSPEED1_S5
irrational,red,right,1,1,0,1,1,1,1,1,1,1,1,1,male,MA,32,R_2OJD0HQHgnW7TIm,0.583333333,0,0.666666667,0.25,0.518518519,0.333333333,0.875,0.233333333,0.25,0.416666667,0,0.3,0.666666667
irrational,red,right,1,1,1,1,1,1,1,1,1,1,1,1,male,BA,33,R_3qTJSADRUn7a3j2,0.5,0.6,0.5,0.25,0.444444444,0.666666667,0.125,0.65,0,0.388888889,0,0.4,0.666666667
irrational,red,right,0,0,1,1,1,1,1,1,1,1,1,1,male,MA,28,R_2RRoxZuuBYPUMJT,0.583333333,0.6,0.583333333,0.375,0.5,0.416666667,0.5625,0.575,0.375,0.444444444,0.466666667,0.4,0.666666667
irrational,red,right,1,0,0,0,1,1,1,1,1,1,1,0,male,MA,24,R_1gSznyOVNi7tr7h,0.75,0.4,0,0.1875,0.37037037,0.5,0.5625,0.6,0.25,0.166666667,0.8,0.4,0.555555556
rational,red,right,0,0,0,0,0,0,0,0,0,0,0,0,female,MA,22,R_883i94DV4dQuEiR,0.444444444,0.55,0.333333333,0.208333333,0.722222222,0.583333333,0.5,0.75,0.25,0.166666667,0.7,0.4,0.666666667
rational,red,right,0,0,0,0,0,0,0,0,0,0,0,0,male,MA,36,R_1pAIbETAQh0OTju,0.333333333,0.4,0.444444444,0.75,0.888888889,0,0.125,0.9,0.75,0.5,0.4,0.5,0.333333333
rational,red,right,0,0,0,0,0,0,0,0,0,0,0,0,male,BA,32,R_20USM6QIIwJ3t96,0.833333333,0.6,0.666666667,0.75,0.111111111,0.111111111,0.875,0.45,0.5,0.166666667,0.6,0.8,0.666666667
rational,red,right,0,0,0,0,0,0,0,0,0,0,0,0,female,BA,30,R_3qfISvr9FrgFkqw,0.388888889,0.533333333,0.666666667,0.375,0.777777778,0.666666667,0.625,0.566666667,0.5,0.666666667,0.7,0.5,0.5
rational,red,right,0,0,0,0,0,0,0,0,0,0,0,0,male,MA,32,R_1gvGFbzDteCjD5W,0.444444444,0.266666667,0.555555556,0.6875,0.555555556,0.555555556,0.375,0.5,0.5,0.388888889,0.4,0.5,0.5
rational,red,right,0,0,0,0,0,0,0,0,0,0,0,0,male,MA,32,R_O1Zv6hG8jcH7cyZ,0.5,0.3,0.333333333,0.458333333,0.527777778,0.703703704,0.375,0.6,0.625,0.416666667,0.666666667,0.4,0.5
rational,red,right,0,0,0,0,0,0,0,0,0,0,0,0,male,HS,41,R_2b3qU4SNylWBJvw,0.291666667,0.533333333,0.333333333,0.375,0.888888889,0.111111111,0.625,0.733333333,0.416666667,0.291666667,0.5,0.466666667,0.5
half,blue,right,0,0,0,0,0,0,1,0,0,0,0,0,female,MA,31,R_3sgkqeXS5mSH5qt,0,0.3,0.666666667,0.75,0.555555556,0,0.25,0.525,0,0.166666667,0.8,0.3,0.666666667
half,blue,right,1,1,0,1,1,0,1,1,1,0,0,1,male,MA,34,R_3nHt10lYNAiQigG,0.333333333,0.8,0.333333333,0.3125,0.481481481,0.851851852,0.5,0.666666667,0.5,0.5,0.8,0.8,0.666666667
half,blue,right,0,0,0,0,0,0,1,0,0,0,0,0,male,HS,36,R_3RgVGyKsN0qt4Hf,0.222222222,0.533333333,0.5,0.3125,0.62962963,0.777777778,0.541666667,0.725,0.416666667,0.583333333,0.5,0.533333333,0
half,blue,right,0,0,0,0,0,0,1,0,0,0,0,1,female,<BA,30,R_12Rc88NieRTaw5S,0,0.2,0.333333333,0.666666667,0.444444444,0.527777778,0.78125,0.9,0,0,0.2,0,0
half,blue,right,0,1,0,0,0,0,0,0,0,0,0,0,male,<BA,19,R_1ISCgMjTBzjsb7s,0.333333333,0.5,0,0.291666667,0.888888889,0.555555556,0.75,0.633333333,0.625,0.444444444,0.6,0.466666667,0.666666667
irrational,blue,right,0,0,0,0,0,0,0,0,0,0,0,0,male,MA,26,R_2Ce9onUvQQjCiGS,0.5,0.8,0.666666667,0.416666667,0.5,0.666666667,0.75,0.7,0.666666667,0.666666667,0.6,0.533333333,0.666666667
irrational,blue,right,0,0,0,0,0,0,0,0,0,0,0,0,male,MA,41,R_27x7GeRCFbfA0Ps,0.833333333,0.2,0.666666667,0.125,0.666666667,0.722222222,0.125,0.55,0.25,0.444444444,0.6,0.4,0.666666667
irrational,blue,right,0,0,0,0,0,0,0,0,0,0,0,0,male,MA,33,R_3Rf85R89Bo46ARh,0.333333333,0.4,0.666666667,0.65625,0.583333333,0.527777778,0.46875,0.475,0.25,0.388888889,0.4,0.4,0.5
irrational,blue,right,0,0,0,0,0,0,0,0,0,0,0,0,female,BA,26,R_3QGhT2z79AhcQ7w,0.5,0.5,0.666666667,0.6875,0.444444444,0.666666667,0.5625,0.6,0,0.583333333,0.2,0.6,0.666666667
irrational,blue,right,0,0,0,0,0,0,0,0,0,0,0,0,male,<BA,34,R_248jSr60q0E4zMP,0.333333333,0.4,0,0.1875,0.138888889,0,0.3125,0.45,0,0,0.6,0.5,0
irrational,blue,right,0,0,0,0,0,0,0,0,0,0,0,0,male,professional,31,R_2q4YVOKOy4M9l69,0.666666667,0.4,0,0.4375,0.666666667,0.444444444,0.5,0.5,0.5,0.416666667,0.5,0.4,0.666666667
irrational,blue,right,0,0,0,0,0,0,0,0,0,0,0,0,male,HS,30,R_29tqGQIajUZLeeE,0.416666667,0.6,0,0.1875,0.444444444,0.888888889,0.75,0,0,0,0,0,0
irrational,blue,right,0,0,0,0,0,0,0,0,0,0,0,0,female,BA,51,R_2tJziYe9uwnAkKg,0.5,0.6,0,0.375,0,0.777777778,0.25,0.633333333,0,0.388888889,0.6,0.4,0.666666667
irrational,blue,right,0,0,0,0,0,0,0,0,0,0,0,1,male,HS,49,R_9WWazB6nQFvh22l,0.166666667,0.333333333,0.666666667,0.625,0.777777778,0.888888889,0.291666667,0.6,0.5,0.416666667,0.6,0.533333333,0.333333333
rational,blue,right,0,0,1,1,1,1,1,1,1,1,1,1,female,MA,36,R_27lporB8KdYdZ4I,0.25,0.6,0.444444444,0.5,0.592592593,0.111111111,0.333333333,0.3,0.416666667,0.444444444,0.6,0.4,0.333333333
rational,blue,right,1,1,1,1,1,1,1,1,1,1,1,0,male,MA,31,R_2ZDIJ20soWQHNO1,0,0.2,0.5,0.625,0.62962963,0.722222222,0.416666667,0.625,0.25,0.666666667,0,0.6,0.333333333
rational,blue,right,1,1,1,1,1,1,1,1,1,1,1,1,male,<BA,33,R_5cHR7KRgL6TG6BP,0.166666667,0.4,0.333333333,0.375,0.518518519,0.666666667,0.625,0.9,0.25,0,0.8,0.4,0
rational,blue,right,1,1,0,0,1,1,1,1,1,1,0,1,male,<BA,59,R_3kjmdYqKVTQmctW,0.166666667,0.6,0.666666667,0.25,0.777777778,0.888888889,0.125,0.55,0.75,0.5,0.4,0.8,0.333333333
rational,blue,right,1,1,1,1,1,1,1,1,1,1,1,1,male,MA,34,R_1H7z3OpAcVKon5o,0.166666667,0.4,0.5,0.5,0.555555556,0.555555556,0.5,0.8,0,0,0.6,0.4,0
rational,blue,right,1,1,1,1,1,1,1,1,1,1,1,0,male,professional,35,R_3rYeFmjlA6JRzCz,0.458333333,0.5,0.666666667,0.5,0.5,0.555555556,0.75,0.475,0.5625,0.541666667,0.5,0.6,0.5
irrational,blue,left,0,0,1,1,1,1,1,1,1,1,1,0,male,<BA,25,R_1jvUWvCVrHxOPaP,0,0.4,0.666666667,0.25,0.722222222,0.444444444,0.75,0.45,0.5,0.416666667,0.6,0.2,0.5
irrational,blue,left,1,1,0,0,1,1,1,1,0,1,0,1,male,HS,29,R_26evzLJuqRk5deP,0,0.6,0.5,0.5625,0.888888889,0,0.125,0.8,0,0,0,0,0
rational,blue,left,0,0,1,0,1,0,0,0,0,1,1,1,male,professional,44,R_22FSTkafmtA1lko,0.5,0.2,0.333333333,0.625,0.555555556,0.722222222,0.625,0.75,0,0.555555556,0.6,0.4,0
rational,blue,left,1,1,1,1,1,0,0,0,0,1,0,0,male,MA,26,R_PYBWyCicsAE42Pv,0,0.8,0.333333333,0.5625,0.555555556,0.777777778,0.541666667,0.6,0,0,0,0,0
rational,blue,left,0,1,1,1,0,1,0,0,1,0,1,1,female,BA,37,R_2TnsysyJA578QCH,0.444444444,0.5,0.333333333,0.75,0.527777778,0.444444444,0.458333333,0.666666667,0.25,0.444444444,0.8,0.2,0
half,blue,left,0,0,0,0,0,0,0,0,0,0,0,0,female,MA,29,R_2Y99vmvmZD9Igrn,0.833333333,0.6,0,0.53125,0.777777778,0.777777778,0.375,0.6,0.666666667,0.444444444,0.533333333,0.4,0.555555556
half,blue,left,1,0,1,0,0,0,1,0,1,0,0,1,female,MA,33,R_1l011tD1Bg8DQy2,0.166666667,0.5,0.333333333,0.5625,0.222222222,0,0.5,0.55,0.5,0.5,0.6,0.4,0.444444444
half,blue,left,0,0,1,0,0,0,0,0,0,0,0,0,male,MA,32,R_2OJD0HQHgnW7TIm,0.583333333,0,0.666666667,0.25,0.518518519,0.333333333,0.875,0.233333333,0.5,0.416666667,0,0.4,0
rational,blue,left,0,0,0,0,0,0,0,0,0,0,0,0,male,BA,33,R_3qTJSADRUn7a3j2,0.5,0.6,0.5,0.25,0.444444444,0.666666667,0.125,0.65,0,0.388888889,0,0,0
rational,blue,left,0,0,0,0,0,0,0,0,0,0,0,0,male,MA,28,R_2RRoxZuuBYPUMJT,0.583333333,0.6,0.583333333,0.375,0.5,0.416666667,0.5625,0.575,0.5,0.277777778,0.4,0.25,0.5
rational,blue,left,0,0,0,0,0,0,0,0,0,0,0,0,male,MA,24,R_1gSznyOVNi7tr7h,0.75,0.4,0,0.1875,0.37037037,0.5,0.5625,0.6,0.25,0.416666667,0,0.333333333,0.555555556
half,blue,left,0,1,0,0,1,0,0,0,0,0,0,0,female,MA,22,R_883i94DV4dQuEiR,0.444444444,0.55,0.333333333,0.208333333,0.722222222,0.583333333,0.5,0.75,0.666666667,0.25,0.7,0.7,0.666666667
half,blue,left,0,0,0,1,0,0,1,0,0,1,0,1,male,MA,36,R_1pAIbETAQh0OTju,0.333333333,0.4,0.444444444,0.75,0.888888889,0,0.125,0.9,0.625,0.5,0.4,0.4,0.333333333
half,blue,left,1,1,1,1,1,1,0,1,1,1,1,1,male,BA,32,R_20USM6QIIwJ3t96,0.833333333,0.6,0.666666667,0.75,0.111111111,0.111111111,0.875,0.45,0.75,0.166666667,0.8,0.8,0.666666667
half,blue,left,0,1,1,0,0,0,0,0,0,0,0,1,female,BA,30,R_3qfISvr9FrgFkqw,0.388888889,0.533333333,0.666666667,0.375,0.777777778,0.666666667,0.625,0.566666667,0.5,0.666666667,0.6,0.2,0.333333333
irrational,blue,left,0,0,1,0,0,1,1,0,0,0,0,0,male,MA,32,R_1gvGFbzDteCjD5W,0.444444444,0.266666667,0.555555556,0.6875,0.555555556,0.555555556,0.375,0.5,0.75,0.5,0.5,0.5,0.333333333
irrational,blue,left,1,0,0,0,1,1,0,1,1,1,1,1,male,MA,32,R_O1Zv6hG8jcH7cyZ,0.5,0.3,0.333333333,0.458333333,0.527777778,0.703703704,0.375,0.6,0.75,0.333333333,0.5,0.6,0.5
irrational,blue,left,1,1,0,1,1,1,0,1,0,0,0,1,male,HS,41,R_2b3qU4SNylWBJvw,0.291666667,0.533333333,0.333333333,0.375,0.888888889,0.111111111,0.625,0.733333333,0.375,0.375,0.8,0.8,0.333333333
